protein,description,log_ratio_1,log_ratio_2,log_ratio_3,avg_ratio,sd_ratio,ratio_count
P73616,P73616_SYNY3 Slr1866 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr1866 PE=4 SV=1,NA,NA,NA,NA,NA,0
P72775,P72775_SYNY3 Alanine dehydrogenase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll1682 PE=3 SV=1,NA,NA,NA,NA,NA,0
Q55730,Q55730_SYNY3 Slr0650 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr0650 PE=4 SV=1,NA,NA,NA,NA,NA,0
Q55196,PSTB1_SYNY3 Phosphate import ATP-binding protein PstB 1 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=pstB1 PE=3 SV=1,4.686748869020107,4.537200860674892,4.344436988624734,4.537200860674892,0.17160999418623923,3
P73785,P73785_SYNY3 Phosphate-binding protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=pstS PE=3 SV=1,3.4990119055688513,4.986411874201288,4.368206081444318,4.368206081444318,0.7472210275705858,3
Q55195,PSTB2_SYNY3 Phosphate import ATP-binding protein PstB 2 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=pstB2 PE=3 SV=1,3.850307067242151,4.453039236732772,4.267423877533187,4.267423877533187,0.30868688643376413,3
Q55199,Q55199_SYNY3 Phosphate-binding protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=pstS PE=3 SV=1,3.0325922784696857,3.4113373304362526,3.593804377472963,3.4113373304362526,0.28626941206700113,3
Q55200,SPHX_SYNY3 Protein SphX OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sphX PE=3 SV=1,3.1844245711374275,3.5695309865258427,3.309126079791783,3.309126079791783,0.1964977238566905,3
P74614,P74614_SYNY3 NADH dehydrogenase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=ndh PE=4 SV=1,2.6776016360480934,2.4335808383361455,2.537708224881038,2.537708224881038,0.12244647050350868,3
P74554,P74554_SYNY3 Sll1365 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll1365 PE=4 SV=1,6.35866864170238,1.6603593015248148,2.524955191356879,2.524955191356879,2.5006331041049794,3
P73736,P73736_SYNY3 N-acetylmuramoyl-L-alanine amidase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=amiA PE=4 SV=1,2.6391590660639035,1.9632008180445621,2.4401900793754447,2.4401900793754447,0.34737754824642514,3
Q6ZER7,Q6ZER7_SYNY3 Uncharacterized protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll5063 PE=4 SV=1,2.3979809357889836,1.948705018575043,2.140176060070533,2.140176060070533,0.22545264227918654,3
P74285,CUGP_SYNY3 UTP--glucose-1-phosphate uridylyltransferase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=cugP PE=1 SV=1,1.5960378963166055,1.3892636714973716,1.8116595614346545,1.5960378963166055,0.2112133874993849,3
Q6ZEQ9,Q6ZEQ9_SYNY3 Uncharacterized protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr5071 PE=4 SV=1,5.15446681937393,0.5695704503041742,1.4242091451770942,1.4242091451770942,2.438117591154684,3
Q55610,SECD_SYNY3 Protein translocase subunit SecD OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=secD PE=3 SV=1,1.1757377422374105,1.3718651764360756,1.7337443926250657,1.3718651764360756,0.2830765383636745,3
Q55155,Q55155_SYNY3 General secretion pathway protein E OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=gspE PE=4 SV=1,1.2024189479400698,1.2657599306459677,1.307405719570399,1.2657599306459677,0.05286566945672469,3
P73537,P73537_SYNY3 Slr1363 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr1363 PE=4 SV=1,1.2610964645917127,0.8424822447678497,1.3601897867462691,1.2610964645917127,0.27479642481775013,3
P73770,P73770_SYNY3 Slr1243 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr1243 PE=4 SV=1,1.234216405850138,0.7695396772673876,1.2257299399623094,1.2257299399623094,0.26586526599241245,3
Q57310,LPXB_SYNY3 Lipid-A-disaccharide synthase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=lpxB PE=3 SV=1,NA,0.9528992509277018,1.4817198741938846,1.2173095625607933,0.3739326487428144,2
P72623,GLGA2_SYNY3 Probable glycogen synthase 2 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=glgA2 PE=3 SV=1,1.8649625619977204,NA,0.5428408557511615,1.203901708874441,0.9348812240408703,2
P29254,PSAA_SYNY3 Photosystem I P700 chlorophyll a apoprotein A1 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=psaA PE=1 SV=1,1.4577494554940706,1.1901611948336144,1.025314569234791,1.1901611948336144,0.2182421507059983,3
P74667,DAPF_SYNY3 Diaminopimelate epimerase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=dapF PE=3 SV=1,1.1599298454805824,0.9758942588868854,1.324555302872686,1.1599298454805824,0.17442054635645837,3
P73016,FABI_SYNY3 Enoyl-[acyl-carrier-protein] reductase [NADH] FabI OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=fabI PE=3 SV=2,1.1577154138682488,0.8770684313949868,1.3416569936918619,1.1577154138682488,0.23396572604280913,3
P73437,FTSH4_SYNY3 ATP-dependent zinc metalloprotease FtsH 4 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=ftsH4 PE=2 SV=1,1.2891009812197576,0.8063188753050797,1.1437258624110758,1.1437258624110758,0.2476745047799615,3
Q55766,RPIA_SYNY3 Ribose-5-phosphate isomerase A OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=rpiA PE=3 SV=1,1.2650721736022204,1.1301339134844595,0.7350492400554924,1.1301339134844595,0.27544646887903046,3
P73098,DNAK3_SYNY3 Chaperone protein dnaK3 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=dnaK3 PE=3 SV=2,1.4647793773177806,0.9351372835857433,1.1253501692562904,1.1253501692562904,0.2683014090574329,3
Q6YRU7,Q6YRU7_SYNY3 Slr6057 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr6057 PE=4 SV=1,1.1403686385827616,0.938019031962456,1.092237032145047,1.092237032145047,0.10570809368096744,3
P73103,P73103_SYNY3 Slr1908 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr1908 PE=3 SV=1,1.4718273147315462,1.055924319571631,0.9651678504832178,1.055924319571631,0.2701591662880695,3
P73407,CCMK4_SYNY3 Carbon dioxide-concentrating mechanism protein CcmK homolog 4 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=ccmK4 PE=1 SV=3,1.4141831894331987,0.9762221319621145,-0.28429374828435333,0.9762221319621145,0.8818100778297928,3
P72890,P72890_SYNY3 Slr1612 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr1612 PE=4 SV=1,-1.4358424394735845,0.99300085933029,0.9507292065420431,0.9507292065420431,1.3902512293550686,3
Q55564,Q55564_SYNY3 Sll0162 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll0162 PE=4 SV=1,0.754358070061074,1.1202675193690752,0.937071296573958,0.937071296573958,0.18295477778312352,3
P74690,PHK_SYNY3 Probable phosphoketolase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr0453 PE=3 SV=2,1.503714970649843,0.7284035806627824,0.8798559220336157,0.8798559220336157,0.4109431582126488,3
P73597,P73597_SYNY3 Sll1306 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll1306 PE=4 SV=1,0.6313640570382891,0.9527626253860717,0.7844256208469513,0.7844256208469513,0.16075977375614464,3
P72827,FUTA1_SYNY3 Iron uptake protein A1 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=futA1 PE=1 SV=1,0.7611500658029261,1.0410390576008877,0.7661035300370558,0.7661035300370558,0.16018319140617385,3
P74416,GCSP_SYNY3 Glycine dehydrogenase (decarboxylating) OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=gcvP PE=1 SV=1,0.944549329988575,0.7516238175927956,0.13306652230829435,0.7516238175927956,0.42393744193444455,3
P73711,P73711_SYNY3 Threonine synthase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=thrC PE=4 SV=1,0.17889336535012906,0.7961498127102414,0.7452686437080575,0.7452686437080575,0.3426308438883059,3
Q55367,CYNS_SYNY3 Cyanate hydratase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=cynS PE=1 SV=1,1.069560895341181,0.4958726527063819,0.7384071445665172,0.7384071445665172,0.2879826343524286,3
P74569,P74569_SYNY3 Aspartate kinase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=lysC PE=1 SV=1,1.0178717755021096,0.4211156697417178,0.7366174954696474,0.7366174954696474,0.29854179546492954,3
P74510,P74510_SYNY3 Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=odhB PE=3 SV=1,1.4255739932405729,0.7350415729329767,0.3826305877162453,0.7350415729329767,0.5305279560846246,3
Q55469,"MURE_SYNY3 UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=murE PE=3 SV=1",0.6331749430065418,0.7271167972654277,1.0074345019814186,0.7271167972654277,0.1947105993703251,3
Q55835,FUTA2_SYNY3 Iron uptake protein A2 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=futA2 PE=1 SV=1,0.22180964700312336,0.7250276635421861,0.8116255426419766,0.7250276635421861,0.31848871135995627,3
P73173,P73173_SYNY3 PilJ protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=pilJ PE=4 SV=1,-0.31371767858769634,1.1454658248454694,0.7177224406280347,0.7177224406280347,0.750116615262924,3
P37277,PSAL_SYNY3 Photosystem I reaction center subunit XI OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=psaL PE=1 SV=1,-0.6131040337997721,0.8710402176834845,0.7123621035071328,0.7123621035071328,0.814935926343972,3
P29255,PSAB_SYNY3 Photosystem I P700 chlorophyll a apoprotein A2 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=psaB PE=1 SV=4,0.5825058840385616,1.009034519017383,0.6973428220326131,0.6973428220326131,0.2207056534368768,3
P19569,PSAD_SYNY3 Photosystem I reaction center subunit II OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=psaD PE=1 SV=2,0.06507925659372434,0.7737978561846968,0.6803299737094004,0.6803299737094004,0.385043664920391,3
P74737,RECA_SYNY3 Protein RecA OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=recA PE=2 SV=1,0.6695081038287409,-0.15169801135971991,0.7472266263326524,0.6695081038287409,0.49807716213010567,3
P73596,P73596_SYNY3 Sll1307 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll1307 PE=4 SV=1,0.8486243016685076,-0.6011174210968339,0.6653080953209543,0.6653080953209543,0.7894290640361911,3
P73636,RS6_SYNY3 30S ribosomal protein S6 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=rpsF PE=3 SV=1,1.1405310143893883,-0.5872024362703535,0.6628844105579874,0.6628844105579874,0.8921814351439877,3
P73505,SYI_SYNY3 Isoleucine--tRNA ligase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=ileS PE=3 SV=1,1.036765029782958,-0.18104331051385272,0.6592574196220163,0.6592574196220163,0.6233878496426835,3
Q6YRS9,Q6YRS9_SYNY3 Slr6016 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr6016 PE=4 SV=1,0.33760175021587113,0.6268636561829112,0.9765689059695608,0.6268636561829112,0.3199596948846286,3
P73412,UVRA_SYNY3 UvrABC system protein A OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=uvrA PE=3 SV=1,1.1364253760115894,-0.07603451011359866,0.6223097900253002,0.6223097900253002,0.6085582104111897,3
P74668,P74668_SYNY3 Pleiotropic regulatory protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=degT PE=3 SV=1,2.248647856938597,0.3944501551702679,0.608092748389638,0.608092748389638,1.0144878296515392,3
P29256,PSAF_SYNY3 Photosystem I reaction center subunit III OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=psaF PE=1 SV=1,0.5550841187077694,0.5858245226329989,0.5888628425504043,0.5858245226329989,0.018686920585638495,3
P72688,P72688_SYNY3 Transcription termination/antitermination protein NusA OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=nusA PE=3 SV=1,0.584418069364148,0.9462761638156434,-0.9939610032697095,0.584418069364148,1.0317252575167462,3
Q55898,PPK1_SYNY3 Polyphosphate kinase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=ppk PE=3 SV=1,1.0398456389587176,0.5787335366825025,0.10663153052278836,0.5787335366825025,0.46661783921989863,3
Q55727,Q55727_SYNY3 Slr0645 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr0645 PE=4 SV=1,0.2155621416493087,1.0302744564921866,0.5764438708812472,0.5764438708812472,0.4082388963352306,3
P72929,Y1021_SYNY3 Uncharacterized protein sll1021 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll1021 PE=4 SV=1,0.6874745130217829,0.5744877071315191,0.21653130305994267,0.5744877071315191,0.24586117781189054,3
P54123,RNJ_SYNY3 Ribonuclease J OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=rnj PE=3 SV=1,0.6778581883444682,-0.2322084940316512,0.5610445233617183,0.5610445233617183,0.4951627928101801,3
P73411,G6PD_SYNY3 Glucose-6-phosphate 1-dehydrogenase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=zwf PE=3 SV=1,0.08381097100626896,0.9916662574169568,0.5410477085859685,0.5410477085859685,0.4539316636908587,3
P32422,PSAC_SYNY3 Photosystem I iron-sulfur center OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=psaC PE=1 SV=2,0.5913693918292563,0.4324513814202097,0.5366787502958461,0.5366787502958461,0.08073551957517831,3
Q55662,Q55662_SYNY3 ATP-dependent Clp protease regulatory subunit OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=clpC PE=3 SV=1,0.8115076769922956,0.5360762450090333,0.3636979779965223,0.5360762450090333,0.2258724814201116,3
P49433,G3P1_SYNY3 Glyceraldehyde-3-phosphate dehydrogenase 1 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=gap1 PE=3 SV=1,0.6277086761615656,-0.14851076129906812,0.5333024671516319,0.5333024671516319,0.4235363868433062,3
P72758,P72758_SYNY3 Carbon dioxide concentrating mechanism protein CcmM OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=ccmM PE=1 SV=1,0.514086406236526,0.6882965188391433,0.5332699627976993,0.5332699627976993,0.09552521940428708,3
P74702,P74702_SYNY3 Chaperone protein HtpG OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=htpG PE=4 SV=1,0.605650742118126,0.12472396357171353,0.5304011231361931,0.5304011231361931,0.25869126685177585,3
P73566,P73566_SYNY3 Slr0882 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr0882 PE=4 SV=1,0.44142600242193036,0.5264937169448264,0.5264937169448264,0.5264937169448264,0.04911386787914025,3
Q55598,Q55598_SYNY3 Slr0384 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr0384 PE=4 SV=1,0.6509219232902925,0.135887899141845,0.5198090347827207,0.5198090347827207,0.26765838736317193,3
Q55445,Y041_SYNY3 Putative methyl-accepting chemotaxis protein sll0041 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll0041 PE=3 SV=2,0.5170627248554562,0.5210370938727538,-0.02912455251846682,0.5170627248554562,0.3164949116847755,3
P73450,NRTC_SYNY3 Nitrate transport ATP-binding protein NrtC OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=nrtC PE=3 SV=1,0.9617868508624892,0.2318875322477328,0.5113733468687223,0.5113733468687223,0.3682702043492403,3
Q55753,Q55753_SYNY3 High-affinity branched-chain amino acid transport ATP-binding protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=braG or livF PE=4 SV=1,1.166469618899142,0.5059560851708089,0.2785909918164269,0.5059560851708089,0.46121243665376577,3
P74135,P74135_SYNY3 Sll1873 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll1873 PE=4 SV=1,0.2519901609958943,0.5990257150907876,0.4938434783987312,0.4938434783987312,0.17794662395423097,3
P73020,P73020_SYNY3 Mg-chelatase subunit ChlH OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=chlH PE=1 SV=1,0.5526909417054481,-0.20074010287946298,0.49350134555600267,0.49350134555600267,0.4189536442062967,3
P74625,P74625_SYNY3 Phycobilisome rod-core linker polypeptide CpcG OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=cpcG PE=3 SV=1,0.4835188062643527,0.545437061650602,0.40814998003457986,0.4835188062643527,0.06875327034158103,3
P73307,RS8_SYNY3 30S ribosomal protein S8 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=rpsH PE=3 SV=1,0.541072262283206,0.08417836644780838,0.47878798402886336,0.47878798402886336,0.24777278356617316,3
P73409,P73409_SYNY3 Slr1841 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr1841 PE=3 SV=1,0.5748813459410771,0.4633573218510973,0.47754322809440863,0.47754322809440863,0.0607090837122671,3
Q55466,Q55466_SYNY3 Sll0518 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll0518 PE=4 SV=1,0.5018036609518602,-0.2673533694420423,0.47515213257584754,0.47515213257584754,0.43658280274116434,3
P74367,PSB27_SYNY3 Photosystem II lipoprotein Psb27 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=psb27 PE=1 SV=2,0.2623206207287562,0.6259844795751728,0.4588073557339508,0.4588073557339508,0.1820286744810145,3
Q6YRV3,Q6YRV3_SYNY3 Slr6051 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr6051 PE=4 SV=1,-0.11479038330037501,0.9100578746872016,0.451048035044544,0.451048035044544,0.5133512605848014,3
P27183,ATPX_SYNY3 ATP synthase subunit b' OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=atpG PE=3 SV=1,0.5887758926164698,0.42276594117754074,0.4496585155669278,0.4496585155669278,0.08910308555374595,3
P73875,P73875_SYNY3 Ssl0467 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=ssl0467 PE=4 SV=1,0.21498150505398758,0.44776804422767613,0.49590691371610446,0.44776804422767613,0.1502364851426268,3
P16033,PSBA2_SYNY3 Photosystem II protein D1 2 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=psbA2 PE=1 SV=1,0.22003597440178185,0.4368473634749299,0.48892819877421545,0.4368473634749299,0.1426082163161565,3
P73317,RL2_SYNY3 50S ribosomal protein L2 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=rplB PE=3 SV=1,0.4708554691019679,0.42534817292406935,0.4050534107062217,0.42534817292406935,0.033696444589944384,3
P74102,OCP_SYNY3 Orange carotenoid-binding protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr1963 PE=1 SV=1,0.11814532332055,0.41941950201258915,0.48695980583874837,0.41941950201258915,0.19636358534729198,3
P73456,FTSZ_SYNY3 Cell division protein FtsZ OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=ftsZ PE=1 SV=1,0.40377984887564955,0.5306555429999205,0.35451230395895356,0.40377984887564955,0.0908764485455181,3
P73534,KPYK2_SYNY3 Pyruvate kinase 2 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=pyk2 PE=3 SV=1,0.4001371142784801,0.45735586465887684,0.34399403624094627,0.4001371142784801,0.056681764776217905,3
P74314,P74314_SYNY3 OmpR subfamily OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr0947 PE=4 SV=1,0.161380114876003,0.39471428649437695,0.6907115243560018,0.39471428649437695,0.2652831636599611,3
Q01950,"PYC1_SYNY3 Phycobilisome 7.8 kDa linker polypeptide, allophycocyanin-associated, core OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=apcC PE=3 SV=1",0.07466744955703476,0.38727595906558415,0.3985647102539089,0.38727595906558415,0.18383006265184504,3
Q55374,Q55374_SYNY3 Slr0907 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr0907 PE=4 SV=1,0.38554443352453743,0.32576799692439273,0.4420441041222781,0.38554443352453743,0.05814574827586102,3
P09190,PSBE_SYNY3 Cytochrome b559 subunit alpha OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=psbE PE=1 SV=3,0.38335481920111647,0.4319030985529326,0.38094430061043594,0.38335481920111647,0.02875049308458955,3
P73704,P73704_SYNY3 General secretion pathway protein G OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=hofG PE=4 SV=1,0.3515762611433468,0.46311276308146687,0.3830626715539404,0.3830626715539404,0.0575033367998498,3
P73304,RS5_SYNY3 30S ribosomal protein S5 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=rpsE PE=3 SV=1,0.288898809238152,0.3802777030410567,0.4060199033529295,0.3802777030410567,0.06154959219494179,3
P73558,GATA_SYNY3 Glutamyl-tRNA(Gln) amidotransferase subunit A OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=gatA PE=3 SV=1,0.35913303822474163,0.42847642216367465,0.3707106798216563,0.3707106798216563,0.03714706733461234,3
P73471,PUR7_SYNY3 Phosphoribosylaminoimidazole-succinocarboxamide synthase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=purC PE=3 SV=1,0.4284313160184685,0.3614304816530077,0.30937864437470547,0.3614304816530077,0.059682554954291804,3
P73574,FABG_SYNY3 3-oxoacyl-[acyl-carrier-protein] reductase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=fabG PE=1 SV=1,0.3557903282617279,0.38665129196648823,0.30418913177451523,0.3557903282617279,0.04166351406051639,3
Q55738,GYRA_SYNY3 DNA gyrase subunit A OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=gyrA PE=3 SV=1,0.3494262915380969,0.6004565301393393,-0.24967815523315473,0.3494262915380969,0.43678203986784103,3
Q55087,CHLP_SYNY3 Geranylgeranyl diphosphate reductase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=chlP PE=3 SV=1,0.2599632875239743,0.4173742142423915,0.34794485725339624,0.34794485725339624,0.07888746422838591,3
Q55700,FTSH2_SYNY3 ATP-dependent zinc metalloprotease FtsH 2 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=ftsH2 PE=1 SV=1,0.004091553882783881,0.4696579586921826,0.3472772693306649,0.3472772693306649,0.24135228253296157,3
P73293,RS9_SYNY3 30S ribosomal protein S9 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=rpsI PE=3 SV=1,0.3686576692444874,0.06157342159614563,0.34435176272835427,0.34435176272835427,0.17071179536419592,3
P27181,ATPF_SYNY3 ATP synthase subunit b OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=atpF PE=3 SV=2,-0.10416300967085003,0.3363659172717664,0.3915380367133443,0.3363659172717664,0.2716705190800288,3
P72866,RS15_SYNY3 30S ribosomal protein S15 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=rpsO PE=3 SV=1,0.5113180129578895,-0.19172892567891936,0.33164973735218195,0.33164973735218195,0.36525810785022067,3
P73316,RS19_SYNY3 30S ribosomal protein S19 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=rpsS PE=3 SV=1,0.33052049863159766,0.07802541995852348,0.6507861830708846,0.33052049863159766,0.2870478372282633,3
P72851,RL28_SYNY3 50S ribosomal protein L28 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=rpmB PE=3 SV=1,0.3304859903641438,0.10172495117162884,0.3353972973740797,0.3304859903641438,0.13351560418714065,3
P72849,HO1_SYNY3 Heme oxygenase 1 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=pbsA1 PE=1 SV=1,0.3297433834727449,0.39700532832428176,0.1602985109444719,0.3297433834727449,0.12197393946072566,3
Q55131,Q55131_SYNY3 Slr0049 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr0049 PE=4 SV=1,0.3291297891922247,0.42619720715238935,0.30380700902889385,0.3291297891922247,0.06460480815615595,3
P74729,P74729_SYNY3 HrEpiB OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll0576 PE=4 SV=1,-0.3527365220617659,0.33502076266715997,0.32449009517499033,0.32449009517499033,0.39407208916421105,3
P48949,RS21_SYNY3 30S ribosomal protein S21 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=rpsU PE=3 SV=1,-0.34690031073929145,0.6964922847740891,0.32137695207026734,0.32137695207026734,0.5285158656069976,3
P72871,METK_SYNY3 S-adenosylmethionine synthase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=metK PE=3 SV=2,0.30703003255753547,0.30703003255753547,0.4879005405615701,0.30703003255753547,0.10442563648459366,3
P73654,P73654_SYNY3 Ssl3364 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=ssl3364 PE=4 SV=1,-0.3163693998107053,0.30070393361853814,0.39958517529572746,0.30070393361853814,0.3879750748868913,3
P74226,RS10_SYNY3 30S ribosomal protein S10 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=rpsJ PE=3 SV=1,0.07102168195535007,0.29932437391285216,0.385190353384604,0.29932437391285216,0.16237664019869966,3
Q55318,FENR_SYNY3 Ferredoxin--NADP reductase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=petH PE=1 SV=2,-0.11701559999360894,0.34284040312708075,0.2985220535772573,0.2985220535772573,0.25367406950919563,3
